date,cpi_yoy,target,cpi_log_return_1_months,cpi_log_return_6_months,cpi_log_return_12_months,rem_1_months,rem_6_months,rem_12_months,nlp_pred
2020-05-31,0.36046774217742855,-0.054454713040924085,-0.015225207597065638,-0.058900271099727175,-0.09251688189871221,0.02308317018287359,-0.04367506350266154,-0.18295748686308055,-0.0012330476685379205
2020-06-30,0.3562748639173926,-0.048055140248063566,-0.004192878260035948,-0.07420800716605952,-0.0871280835311638,0.05164190864940443,-0.07841853970240287,-0.18103868298106535,-0.0012330476685379205
2020-07-31,0.35346981298978397,-0.027769673350482138,-0.002805050927608632,-0.07114411395714121,-0.08090663861280051,0.06571954614198228,-0.08814169032571229,-0.17047490781620694,0.0008451061460030254
2020-08-31,0.34145977813225203,0.0,-0.012010034857531937,-0.06600333263858549,-0.09356413221745669,0.0645824106238519,-0.0717054150874934,-0.040956847193913626,0.001891969526411346
2020-09-30,0.3118867611485984,0.04298656084350572,-0.02957301698365361,-0.08285438359659025,-0.11664361989056216,0.07197349962508925,-0.06184672947185971,-0.036488293263136906,0.001906202524399575
2020-10-31,0.31626952930369356,0.06421959273429373,0.00438276815509514,-0.059423420470800625,-0.09252336889714541,0.09690613705224055,0.02308317018287359,-0.01540037132694383,0.0016111961489052792
2020-11-30,0.30601302913650447,0.09141990727439564,-0.010256500167189098,-0.054454713040924085,-0.11335498414065126,0.10309848397346216,0.05164190864940443,-0.04367506350266154,0.0016111961489052792
2020-12-31,0.30821972366932904,0.09857782967261397,0.0022066945328245713,-0.048055140248063566,-0.12226314741412309,0.11598138092287041,0.06571954614198228,-0.07841853970240287,-0.0014517466523378477
2021-01-31,0.32570013963930183,0.09169353933413638,0.017480415969972796,-0.027769673350482138,-0.09891378730762335,0.09591116142569872,0.0645824106238519,-0.08814169032571229,-0.0014418156429304235
2021-02-28,0.34145977813225203,0.07329537688300503,0.0157596384929502,0.0,-0.06600333263858549,0.07575694707132374,0.07197349962508925,-0.0717054150874934,-0.0014418156429304235
2021-03-31,0.35487332199210414,0.06712108806727074,0.013413543859852106,0.04298656084350572,-0.039867822753084536,0.030103778300230977,0.09690613705224055,-0.06184672947185971,0.0010834369807703058
2021-04-30,0.3804891220379873,0.038878891239168434,0.025615800045883153,0.06421959273429373,0.004796172263493104,0.0035001785822097453,0.10309848397346216,0.02308317018287359,0.0016363463989251129
2021-05-31,0.3974329364109001,0.016000341346441183,0.016943814372912813,0.09141990727439564,0.036965194233471554,-0.020718973191952483,0.11598138092287041,0.05164190864940443,0.0019899863492773744
2021-06-30,0.406797553341943,0.004649626443768762,0.009364616931042902,0.09857782967261397,0.050522689424550404,-0.0376627875648653,0.09591116142569872,0.06571954614198228,0.0019899863492773744
2021-07-31,0.4173936789734382,-0.0072727593290797254,0.010596125631495201,0.09169353933413638,0.06392386598365424,-0.04982265439421263,0.07575694707132374,0.0645824106238519,-0.0001644110450847486
2021-08-31,0.41475515501525706,0.005926918897767808,-0.0026385239581811493,0.07329537688300503,0.07329537688300503,-0.058321610434984406,0.030103778300230977,0.07197349962508925,0.0005576185505467725
2021-09-30,0.4219944100593749,0.016905474135026965,0.0072392550441178205,0.06712108806727074,0.11010764891077646,-0.05219754791836917,0.0035001785822097453,0.09690613705224055,0.00017233854256297747
2021-10-31,0.4193680132771557,0.038056833761719755,-0.0026263967822191536,0.038878891239168434,0.10309848397346216,-0.04630146028488069,-0.020718973191952483,0.10309848397346216,0.0018988403191869732
2021-11-30,0.4134332777573413,0.06093580899803425,-0.005934735519814438,0.016000341346441183,0.10742024862083682,-0.0232800669815883,-0.0376627875648653,0.11598138092287041,0.0018988403191869732
2021-12-31,0.41144717978571177,0.08324906205039534,-0.001986097971629519,0.004649626443768762,0.10322745611638273,0.007248796155683579,-0.04982265439421263,0.09591116142569872,0.0048722641095016546
2022-01-31,0.4101209196443585,0.12637245087020998,-0.001326260141353286,-0.0072727593290797254,0.08442078000505665,0.025516595381823604,-0.058321610434984406,0.07575694707132374,0.007084141214763878
2022-02-28,0.42068207391302487,0.15873634131857756,0.010561154268666384,0.005926918897767808,0.07922229578077283,0.02101193521238376,-0.05219754791836917,0.030103778300230977,0.007084141214763878
2022-03-31,0.43889988419440185,0.1654160826589277,0.018217810281376978,0.016905474135026965,0.0840265622022977,0.003931853033900312,-0.04630146028488069,0.0035001785822097453,0.007761902476409912
2022-04-30,0.4574248470388755,0.17384692980298228,0.018524962844473636,0.038056833761719755,0.07693572500088819,0.0019323677510537651,-0.0232800669815883,-0.020718973191952483,0.007761902476409912
2022-05-31,0.47436908675537554,0.1800372654881392,0.016944239716500054,0.06093580899803425,0.07693615034447543,-0.012098205505580495,0.007248796155683579,-0.0376627875648653,0.007761902476409912
2022-06-30,0.4946962418361071,0.1721069633842362,0.020327155080731574,0.08324906205039534,0.0878986884941641,-0.003740652740797934,0.025516595381823604,-0.04982265439421263,0.007761902476409912
2022-07-31,0.5364933705145685,0.15063573771981387,0.04179712867846136,0.12637245087020998,0.11909969154113026,0.02884815433765825,0.02101193521238376,-0.058321610434984406,0.009038733457731514
2022-08-31,0.5794184152316024,0.1261512853269,0.042925044717033956,0.15873634131857756,0.16466326021634536,0.07164043571842027,0.003931853033900312,-0.05219754791836917,0.007529382124809297
